LA (GC),COUNTA of Account Name,"Per 10,000 people",LOOKUP POP,LOOKUP NAME,Notes
Great Yarmouth Borough Council,39,3.9,"101,251",Great Yarmouth,
East Lindsey District Council,39,2.7,"145,339",East Lindsey,
Portsmouth City Council,19,0.9,"212,267",Portsmouth,
Glasgow City Council,19,0.3,"650,300",Glasgow City,
Durham County Council,19,0.4,"535,620",County Durham,
Tendring District Council,17,1.1,"156,733",Tendring,
Scarborough Borough Council,16,1.5,108800,NOT IN ONS LIST,108800 in 2021: https://www.ons.gov.uk/visualisations/censuspopulationchange/E07000168/ 
North East Lincolnshire Council,16,1.0,"160,017",North East Lincolnshire,
East Riding of Yorkshire Council,16,0.4,"355,994",East Riding of Yorkshire,
Wakefield Metropolitan District Council,15,0.4,"367,840",Wakefield,
Hastings Borough Council,15,1.6,"91,525",Hastings,
Cornwall Council,15,0.3,"584,037",Cornwall,
Birmingham City Council,15,0.1,"1,185,094",Birmingham,
Torbay Council,14,1.0,"141,052",Torbay,
Medway Council,14,0.5,"292,759",Medway,
Liverpool City Council,14,0.3,"503,147",Liverpool,
Blackpool Borough Council,14,1.0,"145,772",Blackpool,
Southampton City Council,13,0.5,"256,269",Southampton,
Borough Council of King's Lynn and West Norfolk,13,0.8,"156,538",King's Lynn and West Norfolk,
South Lanarkshire Council,12,0.4,"334,030",South Lanarkshire,
Sandwell Metropolitan Borough Council,12,0.3,"357,107",Sandwell,
Northumberland County Council,12,0.4,"331,304",Northumberland,
Hull City Council,12,#N/A,#N/A,NOT IN ONS LIST,
East Suffolk Council,12,0.5,"249,749",East Suffolk,
Sunderland City Council,11,0.4,"287,293",Sunderland,
Southend-on-Sea Borough Council,11,0.6,"185,736",Southend-on-Sea,
Sheffield City Council,11,0.2,"574,690",Sheffield,
Halton Borough Council,11,0.8,"131,285",Halton,
Teignbridge District Council,10,0.7,"139,259",Teignbridge,
Stoke-on-Trent City Council,10,0.4,"269,571",Stoke-on-Trent,
Middlesbrough Borough Council,10,0.6,"154,531",Middlesbrough,
London Borough of Hounslow,10,0.3,"304,402",Hounslow,
London Borough of Haringey,10,0.4,"265,321",Haringey,
Arun District Council,10,0.6,"169,836",Arun,
Westminster City Council,9,0.4,"205,797",Westminster,
North Lanarkshire Council,9,0.3,"344,540",North Lanarkshire,
